Actuals,Predictions
251,336.2356466601745
267,299.6252156954666
270,306.6007660011405
538,348.87108516670116
256,326.8457156848833
291,343.6834447957121
207,258.25747521410494
205,324.3038501008367
330,325.56134697255766
239,232.62173489487827
234,336.2356466601745
405,431.877695716384
117,312.1168232545112
198,291.0775330370297
243,317.6336303130678
130,257.6293617314399
223,374.90330195646743
232,329.54482729444356
338,369.811847287358
246,326.8457156848833
288,309.6806228262948
266,337.86406507782004
281,309.6806228262948
461,497.9132053331118
477,439.85480958878094
83,242.41782531495502
181,234.44695258870917
215,304.65428126265965
519,312.7430585668944
528,420.184509130449
256,336.2356466601745
149,251.01740632258395
366,350.6363482910802
197,310.91723980514587
163,310.91723980514587
158,232.62173489487827
310,329.54482729444356
355,299.6252156954666
344,312.7430585668944
143,251.01740632258395
345,339.51988339609915
193,329.54482729444356
284,337.86406507782004
290,327.5254298639789
339,444.0248063791205
143,251.01740632258395
302,361.5080800803068
199,253.56268359057248
174,279.2864272803754
180,253.56268359057248
160,234.44695258870917
280,299.6252156954666
339,359.0463064463613
268,328.8452198015554
224,359.0463064463613
170,324.3038501008367
368,277.0197971078024
323,387.64118940117356
141,272.3820450435512
353,299.6252156954666
60,304.013694391558
258,352.65515148619704
186,279.2864272803754
228,327.5254298639789
515,378.46996220953247
240,361.5080800803068
196,254.222375437339
372,423.02490253923827
187,279.2864272803754
308,413.55670588972464
175,317.52676365351675
836,382.58565643766593
245,296.40197824233616
383,336.2356466601745
363,423.00699273338023
157,292.0254939168058
283,369.811847287358
274,339.51988339609915
340,326.8457156848833
205,336.2356466601745
644,355.5029179860837
146,234.44695258870917
297,339.51988339609915
380,341.74168029866144
407,427.5958522287963
313,423.02490253923827
468,359.0463064463613
238,268.3986922222184
747,477.0749840738521
311,373.76647889568835
344,339.51988339609915
197,304.2591242867207
139,411.05440794078294
284,329.54482729444356
123,232.62173489487827
201,304.65428126265965
173,254.222375437339
573,374.6084951561674
332,398.3484652448971
399,435.07711620545666
525,390.74127851767565
184,324.3038501008367
58,265.75820549178115
431,299.6252156954666
177,253.56268359057248
319,360.53405197417896
179,317.52676365351675
36,352.65515148619704
343,396.83741999210736
391,380.629296810896
538,439.85480958878094
262,258.25747521410494
574,347.5850706970044
149,348.6964313204072
206,299.7029238941397
666,379.84767125231537
137,272.3820450435512
246,337.86406507782004
344,341.74168029866144
160,352.65515148619704
509,522.8859642932092
315,359.0463064463613
142,289.9131942146596
436,451.38986302031736
411,381.5105512753864
144,314.4017512033691
293,475.2352073056983
154,292.0254939168058
357,348.6964313204072
267,304.65428126265965
231,337.86406507782004
169,395.0370648934847
173,223.20054949621655
572,380.7773663927245
423,364.5182726796457
407,369.811847287358
368,325.56134697255766
144,277.0197971078024
186,253.56268359057248
223,281.32303200444153
345,409.04347373859514
373,383.6912970752025
75,224.45688325266923
89,272.3820450435512
372,474.26785982465276
161,253.56268359057248
250,317.52676365351675
346,324.3038501008367
386,390.74127851767565
465,423.6936870385997
256,304.65428126265965
599,372.6782561397424
308,339.51988339609915
768,497.9132053331118
219,329.54482729444356
128,319.92530680162236
401,378.46996220953247
330,381.5105512753864
419,423.00699273338023
391,380.7773663927245
206,272.3820450435512
136,232.62173489487827
244,299.6252156954666
346,427.5958522287963
204,279.2864272803754
216,253.56268359057248
187,295.89045931919674
355,380.7773663927245
264,312.1168232545112
269,350.3234859429988
519,348.87108516670116
499,359.0463064463613
183,289.9131942146596
452,380.629296810896
282,317.52676365351675
530,427.5958522287963
351,384.4903546891854
250,329.54482729444356
329,336.2356466601745
306,381.5105512753864
163,253.56268359057248
494,439.85480958878094
248,336.2356466601745
273,380.7773663927245
548,423.6936870385997
776,1005.0847170814786
470,378.46996220953247
520,341.74168029866144
367,420.184509130449
372,384.01001836306335
184,323.0978968886629
255,299.6252156954666
426,379.84767125231537
202,325.8703366470554
138,232.62173489487827
479,478.49688882525624
336,309.6806228262948
563,591.364616908556
90,319.92530680162236
145,324.3597182374524
510,289.92580626878527
457,431.877695716384
385,348.87108516670116
312,359.5099803029042
467,384.01001836306335
367,398.3484652448971
251,423.02490253923827
372,346.0129319257009
1137,497.9132053331118
703,445.0998427354094
613,444.0248063791205
403,350.3234859429988
318,483.8474348096621
270,358.3906016937687
166,324.2502239911953
282,343.6834447957121
256,317.52676365351675
450,420.184509130449
339,380.7773663927245
328,339.51988339609915
226,363.0598343384337
335,431.7271617070042
212,346.0129319257009
229,310.91723980514587
456,396.83741999210736
130,340.6007527284104
502,621.7780903055666
396,380.7773663927245
1291,374.6084951561674
468,367.29721763621035
90,242.41782531495502
263,373.76647889568835
401,338.19026011179017
424,404.87387445417073
151,268.3986922222184
288,328.8452198015554
185,234.44695258870917
266,350.3234859429988
